,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,88,"At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","At the same time, it is not yet possible to say with absolute certainty whether it can cause a more serious course, how much vaccination or post-infectious immunity acquired by previously experiencing the disease helps against it.","whether:male, illness:female","whether:male, or:male"
1,121,"I’d say that I am not racist, I don't care if someone is white, black, yellow, blue or whatever, as long as they behave as they should in a decent society (working, going about your business, not beating women, just normal behavior).","I myself say that I am not a racist, I don't care if someone is white, black, yellow, blue or other, as long as they behave as they should in a decent society (work, function, don't beat women, just normal behavior).","or:male, they:neutral, they:neutral, business:female, women:female","or:male, they:neutral, they:neutral, behavior:male, women:female"
2,236,"Éric Zemmour, the far-right candidate for the French presidency, is now touring France claiming that the Vichy regime, which collaborated with Hitler during World War II, wasn't so bad, and he's having quite a bit of success with the French.","Far-right French presidential candidate Éric Zemmour is currently touring France arguing that the Vichy regime, which collaborated with Hitler in World War II, wasn't so bad, and he's having quite a bit of success with the French.","for:male, hitler:male","success:female, hitler:male"
3,241,"But unless they have an informed teacher, they will never know what the wider context of the event was.","But if they don't have an enlightened cantor, they won't learn what the wider context of the event was.","unless:female, they:neutral, they:neutral, never:male","cantor:male, they:neutral, they:neutral, wider:male"
4,338,"We have made recommendations to both the courier teams and to the organizers of local events that they wear masks, that they try to keep their spacing as short as possible, that they do not sing with their colleagues, that they simply behave in a way that is as safe as possible, described Zuzana Hrbková, spokesperson for the Bethlehem Light event.","We advise both the courier teams and the organizers of local events to of course wear masks, try to keep the distance, there should be as few of them as possible, not to sing to colleagues, simply behave in such a way as to make it as safe as possible, described Zuzana Hrbková, spokeswoman for the Bethlehem Light event.","courier:male, organizers:male, spokesperson:neutral","courier:male, organizers:male, spokeswoman:female"
5,398,"(c) if by such act they violate an important duty arising out of their employment, profession, position or office or imposed on them by law; or","c) if, by doing so, he violates an important obligation resulting from his employment, profession, position or function or imposed on him by law, or","or:male, or:male, them:neutral, or:male","or:male, or:male, him:male, or:male"
6,422,Too bad he doesn't own TikTok.,Too bad they don't own TikTok too.,he:male,they:neutral
7,484,And the other things they’re going to need to survive?,And other things that he will necessarily need for life?,"other:male, they:neutral","other:male, he:male"
8,644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with her, that is, at least until she returned to the Czech Republic permanently.","his:male, him:male, he:male","his:male, her:female, she:female"
9,725,"The intervening doctor intubated his airways, provided artificial pulmonary ventilation and after further measures as part of pre-hospital emergency care, the ambulance transported him to the Ostrava trauma center for further care, informed Lukáš Humpl, spokesman for the MS Region's Emergency Medical Services.","The attending doctor intubated his airways, provided artificial pulmonary ventilation, and after other measures as part of pre-hospital emergency care, the ambulance transported him to the Ostrava trauma center for further care, informed the spokesperson of the EMS of the Ministry of Health of the region, Lukáš Humpl.","doctor:neutral, his:male, after:male, further:male, him:male, center:male, spokesman:male","doctor:neutral, his:male, after:male, further:male, him:male, center:male, spokesperson:neutral"
