,System,Score
rank 1,refA,0.8895344185615853
rank 2,Borderline,0.509494356352867
rank 3,DIDI-NLP,0.5091471812151809
rank 4,MiSS,0.5070761440479067
rank 5,metricsystem2,0.5067649460332394
rank 6,SMU,0.5051920409103678
rank 7,NiuTrans,0.5047400839957615
rank 8,metricsystem1,0.5037907036818804
rank 9,IIE-MT,0.5037322916916372
rank 10,Facebook-AI,0.5027568338962626
rank 11,refB,0.4964673253768637
rank 12,metricsystem5,0.4947435816791999
rank 13,metricsystem3,0.4922215614296485
rank 14,Online-W,0.48334043255108394
rank 15,metricsystem4,0.48302764699348566
