,System,Score
rank 1,refA,0.23141310839235313
rank 2,DIDI-NLP,0.21135543340989277
rank 3,Borderline,0.21121622072882698
rank 4,SMU,0.21110709301789962
rank 5,refB,0.21101340071876695
rank 6,metricsystem1,0.21089923191900706
rank 7,MiSS,0.2108521570216678
rank 8,metricsystem2,0.2107942028206178
rank 9,NiuTrans,0.21072608781757168
rank 10,IIE-MT,0.21025425318060093
rank 11,Facebook-AI,0.21006473540453788
rank 12,metricsystem3,0.20884534605941682
rank 13,metricsystem5,0.2086382352870453
rank 14,Online-W,0.20388326805120213
rank 15,metricsystem4,0.2031714060135452
