,System,Score
rank 1,refA,0.9526939892607006
rank 2,refB,0.5720579522380367
rank 3,chrf_bestmbr,0.5662911615023375
rank 4,bleu_bestmbr,0.562835663744942
rank 5,OpenNMT,0.5618670507729776
rank 6,Online-A,0.561231223250121
rank 7,Online-B,0.5610557444642462
rank 8,Online-W,0.5600802295217198
rank 9,bleurt_bestmbr,0.5595872179827474
rank 10,JDExploreAcademy,0.558589620403066
rank 11,Lan-Bridge,0.5571546081496128
rank 12,comet_bestmbr,0.5559393110268169
rank 13,Online-G,0.5498483332652571
rank 14,Online-Y,0.5474516934706324
rank 15,PROMT,0.5465243928756619
rank 16,QUARTZ_TuneReranking,0.5347137088811295
rank 17,M2M100_1.2B-B4,0.487375303923458
