,System,Score
rank 1,refA,1.0
rank 2,chrf_bestmbr,0.6870172785666597
rank 3,bleu_bestmbr,0.6794439314901026
rank 4,Online-B,0.6774574831517731
rank 5,Lan-Bridge,0.6728502754659048
rank 6,Online-A,0.6703149121773704
rank 7,JDExploreAcademy,0.6657780195183036
rank 8,Online-W,0.6651737519913129
rank 9,Online-G,0.6593195948979911
rank 10,refB,0.6548360269396931
rank 11,bleurt_bestmbr,0.6538270044407222
rank 12,comet_bestmbr,0.6526459783154174
rank 13,OpenNMT,0.6418204330806684
rank 14,Online-Y,0.6383283285680035
rank 15,PROMT,0.6254321184742442
rank 16,QUARTZ_TuneReranking,0.5954077804743982
rank 17,M2M100_1.2B-B4,0.5670917909107239
