,System,Score
rank 1,refA,0.04474841939079709
rank 2,refB,0.012486739748806113
rank 3,bleurt_bestmbr,0.00793831671403281
rank 4,OpenNMT,0.007063267688691445
rank 5,QUARTZ_TuneReranking,0.00580420178004296
rank 6,comet_bestmbr,0.005463358797413188
rank 7,Online-W,0.002538087439335733
rank 8,Online-A,0.002191283222378287
rank 9,JDExploreAcademy,0.0012056020696673711
rank 10,Online-Y,-0.00025342425209730547
rank 11,chrf_bestmbr,-0.00027910494308647227
rank 12,Online-G,-0.0003163821019692862
rank 13,Lan-Bridge,-0.0006921913355418015
rank 14,bleu_bestmbr,-0.0007778060902471193
rank 15,Online-B,-0.000907301074166684
rank 16,PROMT,-0.0012069193618172555
rank 17,M2M100_1.2B-B4,-0.01364000321531343
