,System,Score
rank 1,refA,0.5714368199888017
rank 2,refB,0.2838464521127821
rank 3,OpenNMT,0.2762597822250522
rank 4,chrf_bestmbr,0.2754579475988949
rank 5,bleu_bestmbr,0.27279946011200884
rank 6,bleurt_bestmbr,0.27266019523885826
rank 7,Online-W,0.2725763426778649
rank 8,Online-A,0.27221780449068755
rank 9,comet_bestmbr,0.2713009410721305
rank 10,JDExploreAcademy,0.27108106813364435
rank 11,Online-B,0.27082365722914714
rank 12,Lan-Bridge,0.2700194152825754
rank 13,Online-G,0.2639319765588574
rank 14,PROMT,0.2618966783588293
rank 15,Online-Y,0.2598040794902384
rank 16,QUARTZ_TuneReranking,0.2508480106604033
rank 17,M2M100_1.2B-B4,0.2211777882354455
