,System,Score
rank 1,refB,0.9520337037487042
rank 2,refA,0.5685286385514134
rank 3,Online-B,0.5614794641180715
rank 4,chrf_bestmbr,0.5608223542395578
rank 5,Lan-Bridge,0.5573727647033186
rank 6,bleu_bestmbr,0.5565015587474803
rank 7,Online-W,0.5552419749789095
rank 8,JDExploreAcademy,0.5546318549168794
rank 9,Online-A,0.5521799880128145
rank 10,bleurt_bestmbr,0.5490592651052222
rank 11,OpenNMT,0.5479181829263957
rank 12,Online-Y,0.5469352961397599
rank 13,Online-G,0.5444032645409088
rank 14,comet_bestmbr,0.5442642973289248
rank 15,PROMT,0.52909103374005
rank 16,QUARTZ_TuneReranking,0.5286797976306518
rank 17,M2M100_1.2B-B4,0.48278134321389654
