,System,Score
rank 1,refB,0.2704935224998842
rank 2,refA,0.18642373798659842
rank 3,bleurt_bestmbr,0.17870363584080431
rank 4,comet_bestmbr,0.1779169361985569
rank 5,Online-W,0.17527927079000852
rank 6,OpenNMT,0.1749709942354419
rank 7,QUARTZ_TuneReranking,0.1716343512195934
rank 8,chrf_bestmbr,0.17110242873029863
rank 9,JDExploreAcademy,0.17071143538578573
rank 10,Online-B,0.1704531526374291
rank 11,Lan-Bridge,0.16992655246491184
rank 12,Online-A,0.16977327227775588
rank 13,Online-Y,0.16886368188112572
rank 14,bleu_bestmbr,0.16857316260643035
rank 15,Online-G,0.16568384376008108
rank 16,PROMT,0.16336612094315744
rank 17,M2M100_1.2B-B4,0.1467922349871392
