,System,Score
rank 1,refB,0.6200402829507974
rank 2,refA,0.3217752543984417
rank 3,chrf_bestmbr,0.31322961249514575
rank 4,Online-B,0.3124681676703129
rank 5,Lan-Bridge,0.3109043336159285
rank 6,bleu_bestmbr,0.31040785512385227
rank 7,Online-W,0.30868302616141474
rank 8,JDExploreAcademy,0.3074650625053638
rank 9,bleurt_bestmbr,0.30509337150389965
rank 10,Online-A,0.30491110597064175
rank 11,OpenNMT,0.3027607527460362
rank 12,comet_bestmbr,0.3020258519991635
rank 13,Online-Y,0.2998288093156115
rank 14,Online-G,0.29864990060764945
rank 15,PROMT,0.2860963802655265
rank 16,QUARTZ_TuneReranking,0.2817872810807543
rank 17,M2M100_1.2B-B4,0.24829665179712784
