,System,Score
rank 1,refA,0.952693989489408
rank 2,refB,0.5720579525723011
rank 3,chrf_bestmbr,0.5662911611152943
rank 4,bleu_bestmbr,0.5628356636217917
rank 5,OpenNMT,0.5618670509664991
rank 6,Online-A,0.561231223250121
rank 7,Online-B,0.5610557448864751
rank 8,Online-W,0.5600802298207985
rank 9,bleurt_bestmbr,0.559587218053119
rank 10,JDExploreAcademy,0.5585896208604807
rank 11,Lan-Bridge,0.5571546083431345
rank 12,comet_bestmbr,0.5559393110795955
rank 13,Online-G,0.5498483330365497
rank 14,Online-Y,0.5474516934354468
rank 15,PROMT,0.5465243926821404
rank 16,QUARTZ_TuneReranking,0.534713708933908
rank 17,M2M100_1.2B-B4,0.48737530460957995
