,System,Score
rank 1,refA,0.2711027867276662
rank 2,refB,0.187999996600859
rank 3,OpenNMT,0.18122664665106344
rank 4,bleurt_bestmbr,0.1806931009851833
rank 5,comet_bestmbr,0.17721763444885172
rank 6,QUARTZ_TuneReranking,0.1754367767414318
rank 7,Online-A,0.17450248004134036
rank 8,Online-W,0.17407665794035454
rank 9,JDExploreAcademy,0.17287516752288928
rank 10,chrf_bestmbr,0.17163277426488519
rank 11,Lan-Bridge,0.17065164129836385
rank 12,Online-G,0.1698762646700523
rank 13,Online-B,0.16956003422492003
rank 14,bleu_bestmbr,0.16933117817723178
rank 15,PROMT,0.16920903984044472
rank 16,Online-Y,0.16857581563686166
rank 17,M2M100_1.2B-B4,0.14955808219102093
