,System,Score
rank 1,refA,0.6206948983239059
rank 2,refB,0.3226785848351459
rank 3,chrf_bestmbr,0.3177670345833449
rank 4,bleu_bestmbr,0.3144989937834053
rank 5,Online-A,0.3127119367409587
rank 6,Online-W,0.3126193107434619
rank 7,OpenNMT,0.3124029710755872
rank 8,Online-B,0.31217204654525543
rank 9,bleurt_bestmbr,0.31178772870877985
rank 10,JDExploreAcademy,0.3112153667549725
rank 11,Lan-Bridge,0.3111203277236695
rank 12,comet_bestmbr,0.31042393952473774
rank 13,Online-G,0.3038986387528587
rank 14,Online-Y,0.2994525752260406
rank 15,PROMT,0.2992771331061666
rank 16,QUARTZ_TuneReranking,0.2863345559681889
rank 17,M2M100_1.2B-B4,0.25239734977904915
