,System,Score
rank 1,refB,0.9520337038366685
rank 2,refA,0.5685286385865992
rank 3,Online-B,0.5614794643819645
rank 4,chrf_bestmbr,0.5608223546793796
rank 5,Lan-Bridge,0.5573727652311048
rank 6,bleu_bestmbr,0.5565015588882234
rank 7,Online-W,0.5552419746094592
rank 8,JDExploreAcademy,0.5546318547057648
rank 9,Online-A,0.552179987819293
rank 10,bleurt_bestmbr,0.549059265527451
rank 11,OpenNMT,0.5479181833662176
rank 12,Online-Y,0.5469352950841877
rank 13,Online-G,0.5444032646288731
rank 14,comet_bestmbr,0.5442642968715102
rank 15,PROMT,0.5290910341798717
rank 16,QUARTZ_TuneReranking,0.5286797979649162
rank 17,M2M100_1.2B-B4,0.48278134328426797
