,System,Score
rank 1,refB,0.04421436809432152
rank 2,refA,0.011467492404024818
rank 3,bleurt_bestmbr,0.008095059892577599
rank 4,comet_bestmbr,0.007279653158326286
rank 5,OpenNMT,0.004853865095892029
rank 6,QUARTZ_TuneReranking,0.004621102879936191
rank 7,Online-W,0.004366467089278141
rank 8,JDExploreAcademy,0.001928313697952417
rank 9,chrf_bestmbr,0.0013806877835389078
rank 10,Online-B,0.0012131830643526012
rank 11,Online-Y,0.0010237638133832525
rank 12,Online-A,0.0008379438906600216
rank 13,Lan-Bridge,0.00018039255403692493
rank 14,bleu_bestmbr,-0.00026819090562728895
rank 15,Online-G,-0.0016850407207928725
rank 16,PROMT,-0.0032424230883890365
rank 17,M2M100_1.2B-B4,-0.01366178754142656
