,System,Score
rank 1,refB,0.5708267533455126
rank 2,refA,0.2807711608665495
rank 3,Online-B,0.2684629310817957
rank 4,chrf_bestmbr,0.2683292961833864
rank 5,Lan-Bridge,0.2671207285988785
rank 6,Online-W,0.2668144981194708
rank 7,bleu_bestmbr,0.2665352463269582
rank 8,JDExploreAcademy,0.2645237979824024
rank 9,bleurt_bestmbr,0.26354572084482025
rank 10,OpenNMT,0.26284124924810676
rank 11,Online-A,0.26198946567867587
rank 12,comet_bestmbr,0.2613428535002853
rank 13,Online-Y,0.2573425229551182
rank 14,Online-G,0.25593001243449354
rank 15,PROMT,0.2469456795563631
rank 16,QUARTZ_TuneReranking,0.24298681832506652
rank 17,M2M100_1.2B-B4,0.21422300931894714
