,System,Score
rank 1,refA,0.9331076564171887
rank 2,chrf_bestmbr,0.5511709092756956
rank 3,Online-B,0.5499542418956183
rank 4,Lan-Bridge,0.5493567926086332
rank 5,bleu_bestmbr,0.5477606828938596
rank 6,Online-Y,0.5444805435275578
rank 7,Online-A,0.543477192775746
rank 8,Online-W,0.5419070607144503
rank 9,Online-G,0.5399507412261821
rank 10,JDExploreAcademy,0.5394648601903274
rank 11,comet_bestmbr,0.5361446962407055
rank 12,PROMT,0.5319125425275473
rank 13,bleurt_bestmbr,0.5291042422045562
rank 14,refB,0.5269529622022592
rank 15,QUARTZ_TuneReranking,0.5246094502746044
rank 16,OpenNMT,0.5244405475901115
rank 17,M2M100_1.2B-B4,0.506214196948996
