,System,Score
rank 1,refA,0.7084690832085679
rank 2,Lan-Bridge,0.3335109492309453
rank 3,chrf_bestmbr,0.33342063455381005
rank 4,Online-B,0.33323606521046367
rank 5,bleu_bestmbr,0.33093174708755263
rank 6,Online-Y,0.3267912188193285
rank 7,Online-A,0.32489633366924187
rank 8,Online-W,0.32326964887592824
rank 9,Online-G,0.3231245854622099
rank 10,JDExploreAcademy,0.32037766611845353
rank 11,comet_bestmbr,0.3153122017075502
rank 12,PROMT,0.3121586523359429
rank 13,OpenNMT,0.30422897481120953
rank 14,refB,0.3036889109217534
rank 15,bleurt_bestmbr,0.30151131939854714
rank 16,QUARTZ_TuneReranking,0.299903117539167
rank 17,M2M100_1.2B-B4,0.2831121281672789
