,System,Score
rank 1,refA,0.2530299249760295
rank 2,comet_bestmbr,0.177825474968071
rank 3,bleurt_bestmbr,0.17726111538061767
rank 4,chrf_bestmbr,0.17311597329856473
rank 5,refB,0.1729208585164826
rank 6,Online-W,0.17264056308753467
rank 7,Online-B,0.1719163030580288
rank 8,QUARTZ_TuneReranking,0.17159110391740198
rank 9,Lan-Bridge,0.17106104262726332
rank 10,Online-Y,0.17075385700703669
rank 11,bleu_bestmbr,0.17061813841332482
rank 12,JDExploreAcademy,0.16988553749465077
rank 13,Online-A,0.16928195098857501
rank 14,Online-G,0.1683096496620339
rank 15,PROMT,0.16664009635343052
rank 16,OpenNMT,0.16471324105758497
rank 17,M2M100_1.2B-B4,0.16181497512419935
