,System,Score
rank 1,refB,0.9330295216041112
rank 2,chrf_bestmbr,0.5545359576343122
rank 3,Lan-Bridge,0.552224569830076
rank 4,Online-B,0.5517212407573177
rank 5,bleu_bestmbr,0.5514756415396019
rank 6,Online-Y,0.5478356568112467
rank 7,Online-G,0.5471813356694574
rank 8,Online-A,0.5465345669458073
rank 9,Online-W,0.5432467682325985
rank 10,JDExploreAcademy,0.5418709928268177
rank 11,comet_bestmbr,0.5361225411560425
rank 12,PROMT,0.5331942100539471
rank 13,bleurt_bestmbr,0.5302379240098294
rank 14,refA,0.5270010241937587
rank 15,OpenNMT,0.5251937471548369
rank 16,QUARTZ_TuneReranking,0.5249005784635384
rank 17,M2M100_1.2B-B4,0.5086196229643981
