,System,Score
rank 1,refB,0.2529578279916103
rank 2,comet_bestmbr,0.17816809094247726
rank 3,bleurt_bestmbr,0.1767262917771694
rank 4,chrf_bestmbr,0.17543327235890022
rank 5,Online-W,0.17413310498837214
rank 6,refA,0.1740347081170966
rank 7,Lan-Bridge,0.17391498300221248
rank 8,Online-B,0.17388731281706607
rank 9,Online-Y,0.17337525782040736
rank 10,bleu_bestmbr,0.17280572351799672
rank 11,QUARTZ_TuneReranking,0.17231045034642986
rank 12,Online-G,0.17219398328542349
rank 13,Online-A,0.17209627462246438
rank 14,JDExploreAcademy,0.17169876864545325
rank 15,PROMT,0.16908250770597658
rank 16,OpenNMT,0.1688376603287796
rank 17,M2M100_1.2B-B4,0.16479005175555608
