,System,Score
rank 1,refB,0.5532679560579609
rank 2,chrf_bestmbr,0.26794999489968724
rank 3,Lan-Bridge,0.2677776974964627
rank 4,Online-B,0.26748715856087296
rank 5,bleu_bestmbr,0.266690344675367
rank 6,Online-G,0.2638316875937705
rank 7,Online-Y,0.26369117631779326
rank 8,Online-A,0.26286371730332275
rank 9,Online-W,0.25972901706060164
rank 10,JDExploreAcademy,0.2588148421443858
rank 11,comet_bestmbr,0.257779244333786
rank 12,PROMT,0.2534865006387316
rank 13,bleurt_bestmbr,0.2518079646771345
rank 14,refA,0.25060794053512164
rank 15,OpenNMT,0.2489316164240858
rank 16,QUARTZ_TuneReranking,0.24866793065667014
rank 17,M2M100_1.2B-B4,0.23703445106378648
