,System,Score
rank 1,refA,0.90557918272473
rank 2,JDExploreAcademy,0.5367490016421393
rank 3,chrf_bestmbr,0.5342255406384165
rank 4,bleu_bestmbr,0.5340389248588714
rank 5,Online-W,0.5321712871566177
rank 6,Online-B,0.5315662848855907
rank 7,Online-Y,0.5256722771071513
rank 8,Online-A,0.5254681115712839
rank 9,PROMT,0.5233508954074957
rank 10,OpenNMT,0.523212956046564
rank 11,Online-G,0.5231222287244494
rank 12,bleurt_bestmbr,0.5193914182037318
rank 13,comet_bestmbr,0.5171403729662518
rank 14,QUARTZ_TuneReranking,0.5162400605487808
rank 15,Lan-Bridge,0.5098960382073469
rank 16,refB,0.5028676674348416
rank 17,M2M100_1.2B-B4,0.4992214963812312
