,System,Score
rank 1,refA,0.22762862637134096
rank 2,bleurt_bestmbr,0.1630390847800211
rank 3,comet_bestmbr,0.16235316004838346
rank 4,Online-W,0.16227252192910938
rank 5,QUARTZ_TuneReranking,0.16117554655931046
rank 6,chrf_bestmbr,0.15905499846130286
rank 7,JDExploreAcademy,0.15852370384503153
rank 8,bleu_bestmbr,0.15737893096153924
rank 9,Online-B,0.15705979865059333
rank 10,Online-G,0.15697858202262552
rank 11,Online-A,0.15663611773307604
rank 12,Online-Y,0.15645619792212248
rank 13,refB,0.15537701822923727
rank 14,PROMT,0.1548739477562149
rank 15,OpenNMT,0.15461020490943508
rank 16,M2M100_1.2B-B4,0.15192004212331275
rank 17,Lan-Bridge,0.14648628454660978
