,System,Score
rank 1,refA,0.5279053843111338
rank 2,JDExploreAcademy,0.24994625731781883
rank 3,bleu_bestmbr,0.24849283653969095
rank 4,chrf_bestmbr,0.24804348578257154
rank 5,Online-W,0.2476416201413078
rank 6,Online-B,0.24601953145520636
rank 7,Online-A,0.24263778068863723
rank 8,Online-Y,0.2425628998313941
rank 9,Online-G,0.24113697923310468
rank 10,PROMT,0.24071421145809227
rank 11,OpenNMT,0.2404182087290101
rank 12,comet_bestmbr,0.23974469442255406
rank 13,bleurt_bestmbr,0.23893342724821925
rank 14,QUARTZ_TuneReranking,0.23810520967513302
rank 15,Lan-Bridge,0.2314039111832169
rank 16,refB,0.22718951907926416
rank 17,M2M100_1.2B-B4,0.22567510750878253
