,System,Score
rank 1,refB,0.00602872653855689
rank 2,bleurt_bestmbr,-0.01007851552737923
rank 3,comet_bestmbr,-0.011268571765364634
rank 4,QUARTZ_TuneReranking,-0.012626643577416528
rank 5,Online-W,-0.012790075161590577
rank 6,refA,-0.01446667837391936
rank 7,chrf_bestmbr,-0.014500235135623723
rank 8,Online-Y,-0.014908730599832316
rank 9,Online-G,-0.015242663265704235
rank 10,Online-A,-0.015698584543660892
rank 11,JDExploreAcademy,-0.016167047435186283
rank 12,bleu_bestmbr,-0.016303411818392972
rank 13,Online-B,-0.016415403655163165
rank 14,OpenNMT,-0.016764234082334715
rank 15,PROMT,-0.01789384372057631
rank 16,M2M100_1.2B-B4,-0.01835416081784063
rank 17,Lan-Bridge,-0.023748363532255505
