,System,Score
rank 1,refB,0.5272058400223109
rank 2,chrf_bestmbr,0.24277306551755526
rank 3,JDExploreAcademy,0.24033064920832534
rank 4,bleu_bestmbr,0.24032557986223987
rank 5,Online-B,0.23908230831907165
rank 6,Online-Y,0.23741984021714213
rank 7,Online-A,0.23664562705540274
rank 8,Online-G,0.2350067834696184
rank 9,Online-W,0.23485969681335736
rank 10,OpenNMT,0.2335448330888387
rank 11,comet_bestmbr,0.2332790464792483
rank 12,PROMT,0.2325919910654363
rank 13,bleurt_bestmbr,0.23013588889692943
rank 14,QUARTZ_TuneReranking,0.22931129015247495
rank 15,refA,0.22579837494301205
rank 16,Lan-Bridge,0.22498491001304038
rank 17,M2M100_1.2B-B4,0.2197987776759918
