,System,Score
rank 1,refA,0.9240399512927979
rank 2,Online-W,0.5136082699469428
rank 3,chrf_bestmbr,0.503783854648624
rank 4,JDExploreAcademy,0.5035678181628712
rank 5,bleu_bestmbr,0.501299598072947
rank 6,Online-B,0.5010655271321056
rank 7,Online-Y,0.49974878750395135
rank 8,Online-A,0.4940490893268662
rank 9,Lan-Bridge,0.49367398993484046
rank 10,Online-G,0.4916410013327272
rank 11,PROMT,0.4892328387951874
rank 12,refB,0.487567764131044
rank 13,QUARTZ_TuneReranking,0.4850157509551091
rank 14,comet_bestmbr,0.48421788263653137
rank 15,bleurt_bestmbr,0.4804984416523316
rank 16,OpenNMT,0.47811719144676335
rank 17,M2M100_1.2B-B4,0.4578225829907039
