,System,Score
rank 1,refA,0.6994133039049982
rank 2,Online-W,0.29322826162839977
rank 3,bleu_bestmbr,0.28252177613824425
rank 4,JDExploreAcademy,0.28242238587005664
rank 5,chrf_bestmbr,0.28239083600397236
rank 6,Online-B,0.28037445651221016
rank 7,Online-Y,0.27989638225830815
rank 8,Lan-Bridge,0.27289351881015905
rank 9,Online-A,0.27119970922320125
rank 10,Online-G,0.2694423196677774
rank 11,PROMT,0.2661252763038995
rank 12,comet_bestmbr,0.2596662261696611
rank 13,refB,0.2591475197452873
rank 14,QUARTZ_TuneReranking,0.2576486832903623
rank 15,OpenNMT,0.25310538096185825
rank 16,bleurt_bestmbr,0.2509937241750603
rank 17,M2M100_1.2B-B4,0.23229579577434026
