,System,Score
rank 1,refA,0.24466289793274773
rank 2,Online-W,0.15647349631279148
rank 3,comet_bestmbr,0.15523526350978906
rank 4,refB,0.15344009365346745
rank 5,bleurt_bestmbr,0.15260719685579763
rank 6,QUARTZ_TuneReranking,0.15117851032365598
rank 7,Online-Y,0.1505413657603024
rank 8,chrf_bestmbr,0.15011911957877738
rank 9,JDExploreAcademy,0.15003905331885647
rank 10,Online-A,0.1484931328251297
rank 11,bleu_bestmbr,0.14837383445245483
rank 12,Online-B,0.14826097309461064
rank 13,Lan-Bridge,0.1474618231748202
rank 14,Online-G,0.14720992919687
rank 15,PROMT,0.14622618323003528
rank 16,OpenNMT,0.14372342678254119
rank 17,M2M100_1.2B-B4,0.13857769546707965
