,System,Score
rank 1,refB,0.6991229642663742
rank 2,Online-Y,0.2868259872354881
rank 3,bleu_bestmbr,0.2863542546482372
rank 4,chrf_bestmbr,0.28620233121619076
rank 5,Online-B,0.2861455029167569
rank 6,Online-W,0.283831238950183
rank 7,JDExploreAcademy,0.2811102302044561
rank 8,Online-A,0.28036187927079737
rank 9,Lan-Bridge,0.27926557889149867
rank 10,Online-G,0.27528981252108903
rank 11,PROMT,0.27267843209053205
rank 12,comet_bestmbr,0.2633705490604533
rank 13,OpenNMT,0.25996176809627314
rank 14,refA,0.25558277741857766
rank 15,bleurt_bestmbr,0.25542375973297127
rank 16,QUARTZ_TuneReranking,0.254907828160354
rank 17,M2M100_1.2B-B4,0.2404890587488329
