,System,Score
rank 1,refB,0.24439464034235617
rank 2,comet_bestmbr,0.15351622273278087
rank 3,Online-W,0.15299921414260656
rank 4,bleurt_bestmbr,0.1515422363657997
rank 5,refA,0.15071727092092407
rank 6,chrf_bestmbr,0.14765421959657996
rank 7,Online-Y,0.14759524363911522
rank 8,Online-B,0.1462066220937802
rank 9,bleu_bestmbr,0.1457757025681595
rank 10,Online-A,0.14467286545388847
rank 11,QUARTZ_TuneReranking,0.14436405392432336
rank 12,JDExploreAcademy,0.14378407245234254
rank 13,Online-G,0.14364796338398392
rank 14,Lan-Bridge,0.14323719030055945
rank 15,PROMT,0.14196161618080622
rank 16,OpenNMT,0.1397601780602638
rank 17,M2M100_1.2B-B4,0.13501047974377797
