,System,Score
rank 1,refA,0.9727285744835664
rank 2,Online-Y,0.5909494452367569
rank 3,Online-B,0.5811657529314367
rank 4,chrf_bestmbr,0.5739861589243931
rank 5,bleu_bestmbr,0.5738640524755824
rank 6,comet_bestmbr,0.5685546150470082
rank 7,Online-W,0.55179452593524
rank 8,Online-G,0.5463145362891734
rank 9,Lan-Bridge,0.5452381948584499
rank 10,Online-A,0.5445334679795876
rank 11,PROMT,0.5323924790045874
rank 12,JDExploreAcademy,0.5310007107500124
rank 13,SRPOL,0.5298684332555704
rank 14,HuaweiTSC,0.5052774034984783
rank 15,eTranslation,0.5043943518111115
rank 16,M2M100_1.2B-B4,0.47055191933246227
rank 17,QUARTZ_TuneReranking,0.4699268592041227
