,System,Score
rank 1,refA,1.0
rank 2,chrf_bestmbr,0.6325904053663596
rank 3,Online-B,0.6250617986545868
rank 4,bleu_bestmbr,0.6234184708367864
rank 5,Online-Y,0.622136059912088
rank 6,Lan-Bridge,0.614251297509317
rank 7,Online-G,0.6069029279082424
rank 8,Online-W,0.5969628793574024
rank 9,Online-A,0.5878119845955198
rank 10,comet_bestmbr,0.5808956635336633
rank 11,JDExploreAcademy,0.5789736119378346
rank 12,SRPOL,0.5766137347906785
rank 13,PROMT,0.5717480891050215
rank 14,eTranslation,0.5685580603293459
rank 15,HuaweiTSC,0.5526117652516104
rank 16,M2M100_1.2B-B4,0.5129115924331776
rank 17,QUARTZ_TuneReranking,0.49157448599288567
