,System,Score
rank 1,refA,0.28958926311477456
rank 2,comet_bestmbr,0.2118165026910368
rank 3,Online-Y,0.20828566247878239
rank 4,Online-B,0.2014837161322114
rank 5,chrf_bestmbr,0.19715414307421056
rank 6,bleu_bestmbr,0.19529083823298093
rank 7,Online-W,0.19115461383228874
rank 8,Online-A,0.1885811415695524
rank 9,Online-G,0.18795821654165382
rank 10,SRPOL,0.18615098054365062
rank 11,Lan-Bridge,0.1828094625195043
rank 12,JDExploreAcademy,0.18233739702280022
rank 13,PROMT,0.18140256850627093
rank 14,eTranslation,0.17575261108234427
rank 15,QUARTZ_TuneReranking,0.17109758530182148
rank 16,HuaweiTSC,0.1705607408941372
rank 17,M2M100_1.2B-B4,0.15802979847588264
