,System,Score
rank 1,refA,0.7251451827595298
rank 2,chrf_bestmbr,0.33618470616905227
rank 3,bleu_bestmbr,0.3358353741100055
rank 4,Online-B,0.3345648349890391
rank 5,Online-Y,0.33295865131287483
rank 6,Lan-Bridge,0.33280648254414674
rank 7,Online-G,0.3326341869738797
rank 8,Online-W,0.32615448232773947
rank 9,JDExploreAcademy,0.3256841647774914
rank 10,Online-A,0.3243304158711488
rank 11,comet_bestmbr,0.3109049320884398
rank 12,HuaweiTSC,0.3090481310571049
rank 13,eTranslation,0.3080236897249646
rank 14,SRPOL,0.3012634807158296
rank 15,PROMT,0.2971465407167141
rank 16,M2M100_1.2B-B4,0.29033204862750256
rank 17,QUARTZ_TuneReranking,0.26445104369811806
