,System,Score
rank 1,refA,0.04241233368659151
rank 2,comet_bestmbr,0.022374930077850297
rank 3,QUARTZ_TuneReranking,0.01674146440792264
rank 4,Online-W,0.015672946609704357
rank 5,Online-G,0.013440129393173806
rank 6,chrf_bestmbr,0.013155743755479057
rank 7,Online-Y,0.012854570742707747
rank 8,Online-B,0.012188886049525088
rank 9,bleu_bestmbr,0.011784879157572136
rank 10,Online-A,0.011175832401444525
rank 11,Lan-Bridge,0.010894324076172456
rank 12,JDExploreAcademy,0.010093083797675059
rank 13,HuaweiTSC,0.009934683160198465
rank 14,eTranslation,0.008613549008201866
rank 15,M2M100_1.2B-B4,0.007750254349027826
rank 16,PROMT,0.007085694267045394
rank 17,SRPOL,0.004930522309420593
