,System,Score
rank 1,refA,0.9258828105991833
rank 2,chrf_bestmbr,0.5168800724137753
rank 3,Online-B,0.5149074994144137
rank 4,bleu_bestmbr,0.5136115074915345
rank 5,Online-W,0.5101862318569321
rank 6,Online-G,0.5088805033954084
rank 7,Online-A,0.5073480783489385
rank 8,JDExploreAcademy,0.5071408348475013
rank 9,comet_bestmbr,0.5056118543470781
rank 10,HuaweiTSC,0.5015523963311893
rank 11,SRPOL,0.4995561522954013
rank 12,Online-Y,0.498831074774202
rank 13,PROMT,0.4965353315853166
rank 14,eTranslation,0.49551576674536957
rank 15,QUARTZ_TuneReranking,0.4939606986560769
rank 16,Lan-Bridge,0.4931716867508404
rank 17,M2M100_1.2B-B4,0.4843975924025206
