,System,Score
rank 1,refA,0.02306305167206668
rank 2,QUARTZ_TuneReranking,0.014255485015426827
rank 3,comet_bestmbr,0.01290890707665782
rank 4,Online-W,0.009502289295869132
rank 5,chrf_bestmbr,0.006635482644232237
rank 6,Online-G,0.005843359839965653
rank 7,JDExploreAcademy,0.005576523213861658
rank 8,Online-B,0.005549059869320876
rank 9,HuaweiTSC,0.005273699854196686
rank 10,bleu_bestmbr,0.0047633834376112905
rank 11,Online-A,0.004202072161462654
rank 12,PROMT,0.003304339011346532
rank 13,eTranslation,0.0031501243345151936
rank 14,SRPOL,0.003125144694313274
rank 15,Online-Y,0.0025495295820291814
rank 16,M2M100_1.2B-B4,0.0024467917411095186
rank 17,Lan-Bridge,-0.0016812073170720215
