,System,Score
rank 1,refA,0.5466647963516323
rank 2,chrf_bestmbr,0.2421905029761011
rank 3,Online-B,0.24201635521980064
rank 4,bleu_bestmbr,0.24117390184541504
rank 5,Online-W,0.24015256631659468
rank 6,comet_bestmbr,0.23935097890646537
rank 7,Online-G,0.2387483860530836
rank 8,JDExploreAcademy,0.23706479745793868
rank 9,Online-A,0.2359789332427859
rank 10,HuaweiTSC,0.23331635587309302
rank 11,SRPOL,0.23143774508171866
rank 12,Online-Y,0.23139900410264255
rank 13,QUARTZ_TuneReranking,0.23016306570738868
rank 14,PROMT,0.22910516796365446
rank 15,eTranslation,0.22820439701487724
rank 16,Lan-Bridge,0.2273832094559433
rank 17,M2M100_1.2B-B4,0.2214758457232093
