,System,Score
rank 1,refA,0.6066214072373179
rank 2,Online-G,0.2785445018609287
rank 3,chrf_bestmbr,0.27702871764733994
rank 4,JDExploreAcademy,0.2750535975494933
rank 5,bleu_bestmbr,0.27461908548718217
rank 6,Online-W,0.2741978623653501
rank 7,Online-B,0.2737182650488658
rank 8,Lan-Bridge,0.2678847261253055
rank 9,Online-Y,0.26388531372092733
rank 10,comet_bestmbr,0.26186689101157085
rank 11,Online-A,0.26155016531363834
rank 12,SRPOL,0.25155650335032886
rank 13,HuaweiTSC,0.24890121054496814
rank 14,PROMT,0.248882623660833
rank 15,eTranslation,0.24524114107436962
rank 16,QUARTZ_TuneReranking,0.23663118404731165
rank 17,M2M100_1.2B-B4,0.23019181470446562
