,System,Score
rank 1,refA,0.033266924917895686
rank 2,comet_bestmbr,0.0043819200366203015
rank 3,QUARTZ_TuneReranking,-0.000987070104914207
rank 4,Online-G,-0.0010587961422134282
rank 5,Online-W,-0.0018530286648354908
rank 6,chrf_bestmbr,-0.002256061830258314
rank 7,JDExploreAcademy,-0.003340093652769525
rank 8,Online-B,-0.004275061583449924
rank 9,Online-A,-0.0044954868565712435
rank 10,Online-Y,-0.005289332652497948
rank 11,bleu_bestmbr,-0.0053801058516460476
rank 12,Lan-Bridge,-0.006255851438173247
rank 13,SRPOL,-0.0062735442772038985
rank 14,eTranslation,-0.007312574207373246
rank 15,PROMT,-0.007454514602499843
rank 16,HuaweiTSC,-0.008561093914433437
rank 17,M2M100_1.2B-B4,-0.011455459481341643
