,System,Score
rank 1,refA,0.9493711430715139
rank 2,refB,0.5803342231538051
rank 3,HuaweiTSC,0.5013359894368082
rank 4,QUARTZ_TuneReranking,0.4842790655217187
rank 5,Online-W,0.47613625350829686
rank 6,Online-G,0.4735135060370013
rank 7,LanguageX,0.4685632339378524
rank 8,AISP-SJTU,0.46852862214508073
rank 9,chrf_bestmbr,0.46733578266391057
rank 10,comet_bestmbr,0.4630917481991241
rank 11,Lan-Bridge,0.45885286478653503
rank 12,JDExploreAcademy,0.4587645238319825
rank 13,bleurt_bestmbr,0.45384017466549365
rank 14,Online-A,0.44922416859833963
rank 15,Online-Y,0.4486652599388723
rank 16,Online-B,0.4462843555291797
rank 17,NiuTrans,0.4457059378929138
rank 18,bleu_bestmbr,0.44320869032163046
rank 19,DLUT,0.4372570451234558
rank 20,M2M100_1.2B-B4,0.41101052407701777
