,System,Score
rank 1,refA,0.6174005874475583
rank 2,refB,0.32352296928326424
rank 3,HuaweiTSC,0.264852657000328
rank 4,Online-W,0.24532573863712884
rank 5,Online-G,0.24180303383591184
rank 6,LanguageX,0.23879121080125534
rank 7,chrf_bestmbr,0.23701903145832626
rank 8,AISP-SJTU,0.23526745135907154
rank 9,comet_bestmbr,0.233382995258901
rank 10,Lan-Bridge,0.23216067314608768
rank 11,JDExploreAcademy,0.23172341244303896
rank 12,bleurt_bestmbr,0.22801219840204293
rank 13,Online-Y,0.22193532705551086
rank 14,Online-B,0.22169221543862955
rank 15,Online-A,0.22093670154061756
rank 16,NiuTrans,0.21942071621780662
rank 17,bleu_bestmbr,0.21911064726478044
rank 18,DLUT,0.2115248184464897
rank 19,QUARTZ_TuneReranking,0.1947537783385884
rank 20,M2M100_1.2B-B4,0.19249167552240237
