,System,Score
rank 1,refA,0.04206083947266189
rank 2,QUARTZ_TuneReranking,0.03856434232144989
rank 3,refB,0.005376434203069705
rank 4,HuaweiTSC,-0.0056207035735102205
rank 5,comet_bestmbr,-0.014106125434092493
rank 6,Online-W,-0.015624086912201891
rank 7,Online-G,-0.01564345164518416
rank 8,AISP-SJTU,-0.01687405587995668
rank 9,LanguageX,-0.019106327330723736
rank 10,Online-A,-0.01996568614403205
rank 11,Lan-Bridge,-0.020504390151286602
rank 12,bleurt_bestmbr,-0.020541573951525307
rank 13,chrf_bestmbr,-0.021879187891710655
rank 14,Online-Y,-0.022399748041409418
rank 15,JDExploreAcademy,-0.022403205852137033
rank 16,NiuTrans,-0.02429661090333354
rank 17,Online-B,-0.02604319571225832
rank 18,DLUT,-0.02627142487920605
rank 19,M2M100_1.2B-B4,-0.03039343106476571
rank 20,bleu_bestmbr,-0.031193691900930496
