,System,Score
rank 1,refB,1.0
rank 2,refA,0.6009223881578657
rank 3,HuaweiTSC,0.45829307762990007
rank 4,chrf_bestmbr,0.44866499029037876
rank 5,Online-G,0.44533500218919175
rank 6,AISP-SJTU,0.44517090936077297
rank 7,LanguageX,0.44354426172373457
rank 8,Online-W,0.43663333774293883
rank 9,JDExploreAcademy,0.43579713216130356
rank 10,comet_bestmbr,0.42836482900401907
rank 11,Lan-Bridge,0.42756624166440205
rank 12,Online-B,0.4271953610622439
rank 13,bleu_bestmbr,0.42503245143265433
rank 14,bleurt_bestmbr,0.42333982814096693
rank 15,Online-A,0.4123059265459126
rank 16,Online-Y,0.4105173376361895
rank 17,NiuTrans,0.408561108976629
rank 18,DLUT,0.3991253379646874
rank 19,M2M100_1.2B-B4,0.35924969649758265
rank 20,QUARTZ_TuneReranking,0.3522149625046278
