,System,Score
rank 1,refB,0.7234061205452835
rank 2,refA,0.3387687535339629
rank 3,HuaweiTSC,0.22210096516417746
rank 4,Online-G,0.19729279975032998
rank 5,Online-W,0.1931272242083631
rank 6,LanguageX,0.19297392759795967
rank 7,Lan-Bridge,0.18789395766258135
rank 8,chrf_bestmbr,0.18700724002034588
rank 9,AISP-SJTU,0.18536479563570293
rank 10,JDExploreAcademy,0.18363332746888686
rank 11,comet_bestmbr,0.1826253009230208
rank 12,bleurt_bestmbr,0.177717522248444
rank 13,Online-B,0.173267720706264
rank 14,bleu_bestmbr,0.16941080194181218
rank 15,Online-Y,0.16506464493542822
rank 16,Online-A,0.1641167840265339
rank 17,NiuTrans,0.16131284398597737
rank 18,DLUT,0.15367325632581785
rank 19,M2M100_1.2B-B4,0.13560456882436406
rank 20,QUARTZ_TuneReranking,0.07736300411066778
