,System,Score
rank 1,refB,0.04100389459276922
rank 2,QUARTZ_TuneReranking,0.03178570715517048
rank 3,refA,0.0023666707361702432
rank 4,HuaweiTSC,-0.012843416018973144
rank 5,Online-G,-0.019916731081979108
rank 6,comet_bestmbr,-0.020795807842360875
rank 7,Online-W,-0.022013198585725934
rank 8,AISP-SJTU,-0.024481533254382543
rank 9,LanguageX,-0.024761572240643313
rank 10,Lan-Bridge,-0.02563526159392945
rank 11,bleurt_bestmbr,-0.0265646733708147
rank 12,Online-A,-0.02727898413374747
rank 13,Online-Y,-0.027835991359407657
rank 14,chrf_bestmbr,-0.02854519039601121
rank 15,JDExploreAcademy,-0.029745326000240598
rank 16,NiuTrans,-0.032491513152072264
rank 17,DLUT,-0.03282800289498949
rank 18,Online-B,-0.033513794983850174
rank 19,M2M100_1.2B-B4,-0.036563412753126766
rank 20,bleu_bestmbr,-0.03865489808950401
