,System,Score
rank 1,refA,0.9049672009829192
rank 2,refB,0.5955011533213871
rank 3,chrf_bestmbr,0.4681423069367226
rank 4,bleurt_bestmbr,0.4638842978268616
rank 5,bleu_bestmbr,0.4626536538597564
rank 6,Online-G,0.46168634211051257
rank 7,Online-B,0.45724313523455484
rank 8,LanguageX,0.4570062023582763
rank 9,JDExploreAcademy,0.4530983919027523
rank 10,Lan-Bridge,0.45276833456024984
rank 11,Online-Y,0.44948533350682
rank 12,comet_bestmbr,0.4482168521139768
rank 13,AISP-SJTU,0.4479476661837426
rank 14,HuaweiTSC,0.44709159538442184
rank 15,Online-A,0.43726147097357426
rank 16,DLUT,0.42839392975584
rank 17,NiuTrans,0.42760621132247134
rank 18,Online-W,0.4263741219017736
rank 19,QUARTZ_TuneReranking,0.4137583841312503
rank 20,M2M100_1.2B-B4,0.3960288546888561
