,System,Score
rank 1,refA,0.26093242836695035
rank 2,comet_bestmbr,0.24790569201481105
rank 3,bleurt_bestmbr,0.24571967307214684
rank 4,refB,0.24562400090290532
rank 5,chrf_bestmbr,0.2435569191387715
rank 6,Online-G,0.24124333561513026
rank 7,bleu_bestmbr,0.23873045317440425
rank 8,Online-B,0.23765704961276699
rank 9,Lan-Bridge,0.23686775100671772
rank 10,Online-Y,0.2360963421238175
rank 11,QUARTZ_TuneReranking,0.23572351369486091
rank 12,LanguageX,0.23529142432562475
rank 13,JDExploreAcademy,0.23457701628496594
rank 14,HuaweiTSC,0.23368460398880495
rank 15,AISP-SJTU,0.23330661918047327
rank 16,DLUT,0.2292357378884675
rank 17,Online-A,0.22837888456802968
rank 18,NiuTrans,0.22461935078523462
rank 19,Online-W,0.2224481407514193
rank 20,M2M100_1.2B-B4,0.21631750307015193
