,System,Score
rank 1,refA,0.6803656377656552
rank 2,refB,0.37479696780912075
rank 3,bleu_bestmbr,0.22272048449417275
rank 4,chrf_bestmbr,0.2215564346542509
rank 5,bleurt_bestmbr,0.21774920447882654
rank 6,Online-G,0.21504851440123574
rank 7,LanguageX,0.21483544701232557
rank 8,Online-B,0.2123901969046891
rank 9,JDExploreAcademy,0.21168029679820413
rank 10,Lan-Bridge,0.21155167648253856
rank 11,AISP-SJTU,0.2056668593924294
rank 12,Online-Y,0.20459917362495172
rank 13,HuaweiTSC,0.2025954382010234
rank 14,comet_bestmbr,0.201256718199583
rank 15,Online-A,0.19135861742752816
rank 16,DLUT,0.1807988005481634
rank 17,NiuTrans,0.1804555515548853
rank 18,Online-W,0.17768700333599538
rank 19,M2M100_1.2B-B4,0.14596504143252417
rank 20,QUARTZ_TuneReranking,0.12243749733227698
