,System,Score
rank 1,refB,0.6790902301152816
rank 2,refA,0.3734704425044614
rank 3,chrf_bestmbr,0.202287136809116
rank 4,bleu_bestmbr,0.2015436944850825
rank 5,bleurt_bestmbr,0.1976713149008298
rank 6,JDExploreAcademy,0.19670174588350467
rank 7,Lan-Bridge,0.19612498566892414
rank 8,LanguageX,0.19593623771637197
rank 9,Online-G,0.19570087820122092
rank 10,Online-B,0.19372490275468088
rank 11,AISP-SJTU,0.18907413782412802
rank 12,Online-Y,0.18396423124014774
rank 13,HuaweiTSC,0.18386813173198385
rank 14,comet_bestmbr,0.1827154429709015
rank 15,Online-A,0.17082318857068038
rank 16,DLUT,0.16448781277140326
rank 17,NiuTrans,0.16391093709071677
rank 18,Online-W,0.15934545307880438
rank 19,M2M100_1.2B-B4,0.13129660971126283
rank 20,QUARTZ_TuneReranking,0.10544630479621664
