,System,Score
rank 1,refB,0.005113192966100767
rank 2,refA,-0.021945735018494925
rank 3,comet_bestmbr,-0.023200982063127446
rank 4,bleurt_bestmbr,-0.025307740563514265
rank 5,chrf_bestmbr,-0.027191427135041864
rank 6,QUARTZ_TuneReranking,-0.027965768883795834
rank 7,Online-G,-0.027969910040599066
rank 8,bleu_bestmbr,-0.03132323137250759
rank 9,Online-B,-0.03132807781710223
rank 10,Online-Y,-0.03182987650783342
rank 11,Lan-Bridge,-0.032478052896612396
rank 12,JDExploreAcademy,-0.03276192475934573
rank 13,LanguageX,-0.0331004142008386
rank 14,HuaweiTSC,-0.03365968919636468
rank 15,AISP-SJTU,-0.03427478773765058
rank 16,DLUT,-0.03716591320689573
rank 17,Online-A,-0.03788554837057346
rank 18,NiuTrans,-0.04043938268234904
rank 19,Online-W,-0.041762796512908575
rank 20,M2M100_1.2B-B4,-0.04504132141425352
