,System,Score
rank 1,refA,0.9526939895245937
rank 2,refB,0.5720579526250796
rank 3,chrf_bestmbr,0.5662911610977015
rank 4,bleu_bestmbr,0.562835663868092
rank 5,OpenNMT,0.5618670510192778
rank 6,Online-A,0.561231222986228
rank 7,Online-B,0.5610557441827603
rank 8,Online-W,0.5600802298383913
rank 9,bleurt_bestmbr,0.5595872181938618
rank 10,JDExploreAcademy,0.5585896207549234
rank 11,Lan-Bridge,0.5571546081144271
rank 12,comet_bestmbr,0.5559393111323742
rank 13,Online-G,0.5498483331772926
rank 14,Online-Y,0.547451694051197
rank 15,PROMT,0.5465243929636263
rank 16,QUARTZ_TuneReranking,0.5347137087403865
rank 17,M2M100_1.2B-B4,0.48737530369475074
