,System,Score
rank 1,refA,0.7896272795993551
rank 2,refB,0.6500476718687642
rank 3,Online-A,0.6443650189175111
rank 4,chrf_bestmbr,0.644040920528626
rank 5,bleurt_bestmbr,0.6432491285725254
rank 6,OpenNMT,0.6414245852426154
rank 7,Online-B,0.6410768478837457
rank 8,JDExploreAcademy,0.6406361274893608
rank 9,Online-W,0.6403166098399893
rank 10,bleu_bestmbr,0.6397540659889307
rank 11,Lan-Bridge,0.6396307909779709
rank 12,QUARTZ_TuneReranking,0.6380947697553806
rank 13,comet_bestmbr,0.6379944996039467
rank 14,Online-G,0.6374725588177228
rank 15,Online-Y,0.6368882604383113
rank 16,PROMT,0.6344820166958577
rank 17,M2M100_1.2B-B4,0.5985427362848178
