,System,Score
rank 1,refA,0.3132389340175187
rank 2,refB,0.08740717572182022
rank 3,bleurt_bestmbr,0.055568215623781
rank 4,OpenNMT,0.04944287221731669
rank 5,QUARTZ_TuneReranking,0.040629413376599754
rank 6,comet_bestmbr,0.03824351089466804
rank 7,Online-W,0.017766610013677075
rank 8,Online-A,0.0153389842747087
rank 9,JDExploreAcademy,0.008439212196923895
rank 10,Online-Y,-0.0017739735444149973
rank 11,chrf_bestmbr,-0.0019537319672454645
rank 12,Online-G,-0.0022146741410981052
rank 13,Lan-Bridge,-0.004845339119717851
rank 14,bleu_bestmbr,-0.005444643433491603
rank 15,Online-B,-0.006351105686568492
rank 16,PROMT,-0.008448436105407686
rank 17,M2M100_1.2B-B4,-0.09548002101820796
