,System,Score
rank 1,refA,2.5398526779188133
rank 2,refB,1.493879401724212
rank 3,chrf_bestmbr,1.4642204695526913
rank 4,bleu_bestmbr,1.4535913593790244
rank 5,Online-W,1.4419232554055301
rank 6,Online-A,1.441401719637074
rank 7,Online-B,1.4392492340515262
rank 8,Lan-Bridge,1.4392221162130363
rank 9,JDExploreAcademy,1.4379866417970306
rank 10,bleurt_bestmbr,1.437758483666612
rank 11,comet_bestmbr,1.4355493066344516
rank 12,OpenNMT,1.4189064060701075
rank 13,Online-G,1.4108226131823915
rank 14,Online-Y,1.3740325727714358
rank 15,PROMT,1.3678842799833397
rank 16,QUARTZ_TuneReranking,1.3143909353050582
rank 17,M2M100_1.2B-B4,1.135409186975724
