,System,Score
rank 1,refB,1.0
rank 2,chrf_bestmbr,0.6787680656702284
rank 3,Online-B,0.674220112349662
rank 4,Lan-Bridge,0.671236195840821
rank 5,bleu_bestmbr,0.6704737202248015
rank 6,JDExploreAcademy,0.6607798330757103
rank 7,Online-W,0.6523796635382334
rank 8,Online-A,0.6521580657221315
rank 9,refA,0.6472087375606139
rank 10,bleurt_bestmbr,0.6398213959873746
rank 11,OpenNMT,0.6334740000050172
rank 12,Online-Y,0.6331018694178085
rank 13,comet_bestmbr,0.6330033920488036
rank 14,Online-G,0.6250327198471767
rank 15,QUARTZ_TuneReranking,0.5882978723404255
rank 16,M2M100_1.2B-B4,0.574645390070922
rank 17,PROMT,0.5660063040631338
