,System,Score
rank 1,refB,0.7893789773909506
rank 2,refA,0.6464993627867549
rank 3,chrf_bestmbr,0.6435188580097441
rank 4,Online-B,0.6424612597170982
rank 5,Online-W,0.6411404075251609
rank 6,Lan-Bridge,0.6401930055207021
rank 7,Online-A,0.6396017797312578
rank 8,JDExploreAcademy,0.6387427387682172
rank 9,bleurt_bestmbr,0.6385805552176305
rank 10,bleu_bestmbr,0.6380191905659686
rank 11,Online-Y,0.636739125810048
rank 12,comet_bestmbr,0.6356630959155849
rank 13,Online-G,0.6349713315743242
rank 14,QUARTZ_TuneReranking,0.6348178490014221
rank 15,OpenNMT,0.6346781723702262
rank 16,PROMT,0.625022616752469
rank 17,M2M100_1.2B-B4,0.5952868446831806
