,System,Score
rank 1,refB,1.893454657857426
rank 2,refA,1.3049661666226624
rank 3,bleurt_bestmbr,1.250925451721516
rank 4,comet_bestmbr,1.245418552315188
rank 5,Online-W,1.226954895768884
rank 6,OpenNMT,1.2247969601257425
rank 7,QUARTZ_TuneReranking,1.201440459174019
rank 8,chrf_bestmbr,1.197717000554833
rank 9,JDExploreAcademy,1.194980048615994
rank 10,Online-B,1.193172069656126
rank 11,Lan-Bridge,1.1894858685679177
rank 12,Online-A,1.1884129060637032
rank 13,Online-Y,1.182045772252386
rank 14,bleu_bestmbr,1.180012137568343
rank 15,Online-G,1.1597869052060532
rank 16,PROMT,1.1435628450497428
rank 17,M2M100_1.2B-B4,1.0275456453478196
