,System,Score
rank 1,refB,2.5362600056752806
rank 2,refA,1.484876418816487
rank 3,chrf_bestmbr,1.4428830050178207
rank 4,Online-B,1.434207813287522
rank 5,bleu_bestmbr,1.4316789940889123
rank 6,Lan-Bridge,1.4294936452114935
rank 7,Online-W,1.4197694286202354
rank 8,JDExploreAcademy,1.414824498053225
rank 9,bleurt_bestmbr,1.410116311709831
rank 10,Online-A,1.3990597272184035
rank 11,comet_bestmbr,1.3929672411035392
rank 12,OpenNMT,1.390033565230609
rank 13,Online-G,1.372379127781114
rank 14,Online-Y,1.3669214373293777
rank 15,PROMT,1.3019905054365746
rank 16,QUARTZ_TuneReranking,1.2858794992878044
rank 17,M2M100_1.2B-B4,1.1063429686420057
