,System,Score
rank 1,refA,0.9331076563850568
rank 2,chrf_bestmbr,0.5511709094845528
rank 3,Online-B,0.5499542419920139
rank 4,Lan-Bridge,0.5493567924801057
rank 5,bleu_bestmbr,0.5477606827974639
rank 6,Online-Y,0.5444805435436237
rank 7,Online-A,0.5434771926632844
rank 8,Online-W,0.5419070609072414
rank 9,Online-G,0.5399507413386436
rank 10,JDExploreAcademy,0.5394648600778656
rank 11,comet_bestmbr,0.5361446962407055
rank 12,PROMT,0.5319125425114815
rank 13,bleurt_bestmbr,0.529104241979633
rank 14,refB,0.5269529620255339
rank 15,QUARTZ_TuneReranking,0.5246094498890218
rank 16,OpenNMT,0.5244405475740456
rank 17,M2M100_1.2B-B4,0.506214196965062
