,System,Score
rank 1,refA,0.7977121615270824
rank 2,chrf_bestmbr,0.6627357145601223
rank 3,comet_bestmbr,0.6624032010850569
rank 4,bleurt_bestmbr,0.6609761916533611
rank 5,Online-B,0.6584931138243714
rank 6,Online-W,0.658129959352297
rank 7,Online-Y,0.657375743586405
rank 8,Lan-Bridge,0.6568158530470953
rank 9,bleu_bestmbr,0.6566925729331161
rank 10,JDExploreAcademy,0.65435849070092
rank 11,refB,0.6533685191670504
rank 12,Online-A,0.653009810267221
rank 13,Online-G,0.6520569753923452
rank 14,QUARTZ_TuneReranking,0.6517020016635432
rank 15,PROMT,0.6480298186891208
rank 16,OpenNMT,0.6429717465915135
rank 17,M2M100_1.2B-B4,0.632966848426692
