,System,Score
rank 1,refA,2.0839684197391337
rank 2,chrf_bestmbr,1.0554992228254887
rank 3,Online-B,1.0507014177755043
rank 4,Lan-Bridge,1.0494750650199458
rank 5,bleu_bestmbr,1.04264323569248
rank 6,Online-Y,1.0326318284266358
rank 7,Online-W,1.0285895065844861
rank 8,comet_bestmbr,1.0215907535547024
rank 9,Online-A,1.0215456411902322
rank 10,Online-G,1.0182008741350572
rank 11,JDExploreAcademy,1.0135785315503467
rank 12,PROMT,0.9844629403184937
rank 13,bleurt_bestmbr,0.9778856038379227
rank 14,refB,0.9762715699337354
rank 15,QUARTZ_TuneReranking,0.9643993607723709
rank 16,OpenNMT,0.9620436514010704
rank 17,M2M100_1.2B-B4,0.8986978032002151
